Date,Open,High,Low,Close,Volume
2025-07-24,119.98999786376953,121.0,117.27999877929688,118.20999908447266,7485900
2025-07-25,116.68000030517578,118.69000244140625,116.51000213623047,118.44999694824219,4987800
2025-07-28,118.5999984741211,120.83999633789062,116.25,116.76000213623047,5443200
2025-07-29,116.48999786376953,117.0999984741211,114.93000030517578,115.41999816894531,7547500
2025-07-30,114.33999633789062,115.69000244140625,112.72000122070312,112.91999816894531,7266800
2025-07-31,112.02999877929688,114.29000091552734,110.93000030517578,113.44999694824219,4647500
2025-08-01,111.19999694824219,111.81999969482422,108.87000274658203,110.05999755859375,7646100
2025-08-04,111.81999969482422,113.05999755859375,111.44000244140625,112.04000091552734,3842600
2025-08-05,112.63999938964844,114.45999908447266,112.25,112.62000274658203,3181900
2025-08-06,113.6500015258789,115.44000244140625,112.81999969482422,113.94000244140625,4374100
2025-08-07,114.44000244140625,115.8499984741211,114.16999816894531,114.19000244140625,5153900
2025-08-08,114.05999755859375,114.97000122070312,113.12999725341797,114.26000213623047,4328500
2025-08-11,114.43000030517578,114.61000061035156,112.05000305175781,113.04000091552734,4445800
2025-08-12,113.47000122070312,117.6500015258789,112.91000366210938,116.43000030517578,7939900
2025-08-13,119.0,120.18000030517578,116.02999877929688,116.62999725341797,6696900
2025-08-14,115.86000061035156,117.38999938964844,113.91999816894531,114.73999786376953,5151700
2025-08-15,117.01000213623047,119.91999816894531,116.33000183105469,118.94999694824219,10085100
2025-08-18,120.5,121.4000015258789,118.33000183105469,118.33999633789062,6781600
2025-08-19,118.05000305175781,120.13999938964844,117.25,119.06999969482422,6033800
2025-08-20,119.06999969482422,121.33999633789062,117.86000061035156,118.0,5640700
2025-08-21,118.02999877929688,123.37000274658203,117.79000091552734,122.95999908447266,13413800
2025-08-22,127.4800033569336,129.0,125.81999969482422,127.11000061035156,20172300
2025-08-25,125.8499984741211,133.3300018310547,124.22000122070312,128.2100067138672,31306000
2025-08-26,128.5,132.6999969482422,123.04000091552734,123.91000366210938,15955900
2025-08-27,121.75,122.4800033569336,120.01000213623047,122.22000122070312,10451100
2025-08-28,122.30999755859375,123.04000091552734,121.22000122070312,122.22000122070312,5667900
2025-08-29,122.81999969482422,123.08000183105469,119.83000183105469,120.22000122070312,11937600
2025-09-02,119.38999938964844,122.0999984741211,118.7699966430664,121.69000244140625,8217300
2025-09-03,120.83999633789062,124.75,119.97000122070312,124.38999938964844,7760700
2025-09-04,123.47000122070312,125.18000030517578,123.04000091552734,123.87000274658203,7811400
2025-09-05,125.81999969482422,126.58999633789062,124.12999725341797,124.68000030517578,8495100
2025-09-08,125.70999908447266,126.04000091552734,123.48999786376953,125.02999877929688,6793800
2025-09-09,124.98999786376953,128.0,124.5199966430664,126.05999755859375,9153800
2025-09-10,126.05999755859375,126.2699966430664,123.69000244140625,124.68000030517578,7619700
2025-09-11,125.66999816894531,128.0,125.01000213623047,125.72000122070312,9601500
2025-09-12,125.9800033569336,126.05999755859375,123.7699966430664,125.44000244140625,4868900
2025-09-15,126.05999755859375,128.58999633789062,124.51000213623047,127.38999938964844,12331500
2025-09-16,127.58999633789062,130.0,127.4800033569336,129.05999755859375,12083100
2025-09-17,132.86000061035156,135.3699951171875,131.60000610351562,134.86000061035156,24258500
2025-09-18,133.42999267578125,134.4600067138672,132.4499969482422,132.9600067138672,8979500
2025-09-19,134.08999633789062,134.10000610351562,129.0,129.47000122070312,17408300
2025-09-22,128.80999755859375,130.69000244140625,128.44000244140625,128.57000732421875,7296000
2025-09-23,128.1999969482422,130.6199951171875,127.0,128.52000427246094,7937700
2025-09-24,131.55999755859375,133.0,130.16000366210938,130.9600067138672,9581100
2025-09-25,130.17999267578125,131.67999267578125,129.42999267578125,131.00999450683594,4823400
2025-09-26,129.47000122070312,131.1300048828125,128.1999969482422,129.99000549316406,5482100
2025-09-29,132.0,133.61000061035156,130.36000061035156,130.6699981689453,8324800
2025-09-30,132.77999877929688,134.3800048828125,131.16000366210938,132.1699981689453,12739400
2025-10-01,133.0,135.00999450683594,132.6199951171875,134.39999389648438,9101800
2025-10-02,135.38999938964844,136.83999633789062,134.1199951171875,135.24000549316406,8596800
2025-10-03,135.47999572753906,135.6300048828125,132.5800018310547,134.25,7003200
2025-10-06,134.27999877929688,135.36000061035156,132.97000122070312,134.3300018310547,6964300
2025-10-07,134.57000732421875,134.72000122070312,132.41000366210938,133.47999572753906,4853600
2025-10-08,133.7899932861328,135.13999938964844,133.19000244140625,133.77000427246094,5278400
2025-10-09,133.00999450683594,133.91000366210938,130.05999755859375,131.25,8466700
2025-10-10,130.25999450683594,132.3300018310547,122.91999816894531,124.2699966430664,21804400
2025-10-13,128.0,129.58999633789062,126.80999755859375,127.55000305175781,9960500
2025-10-14,125.12000274658203,128.0399932861328,124.91000366210938,127.0999984741211,5366500
2025-10-15,128.55999755859375,129.30999755859375,126.51000213623047,127.58000183105469,4506900
2025-10-16,128.05999755859375,128.24000549316406,126.22000122070312,127.3499984741211,3630400
2025-10-17,125.54000091552734,130.22999572753906,125.52999877929688,128.47999572753906,6300900
2025-10-20,129.3000030517578,132.4199981689453,128.52999877929688,131.55999755859375,8050400
