Date,Close,High,Low,Open,Volume
2025-08-19,87.13792419433594,88.44785891413062,86.94397080772686,87.86499707790632,9867000
2025-08-20,87.3726577758789,87.55069816663982,85.55944137787476,87.38160456731643,9785000
2025-08-21,86.7708969116211,87.65612079882023,86.19699706985746,87.17372257407655,7305000
2025-08-22,86.56105041503906,88.9034179817193,86.45661045449732,86.77091683578615,9463000
2025-08-25,87.48307037353516,88.19920835487238,86.13732560020914,86.56004825511071,4693000
2025-08-26,88.33348083496094,88.80892052165774,87.65414685841598,87.65414685841598,8123000
2025-08-27,88.41205596923828,88.58512593433616,87.52683197184585,88.11366261774184,5285000
2025-08-28,88.9203109741211,89.2186967212358,88.02513855586146,88.8218431463812,9642000
2025-08-29,86.73211669921875,88.02514445541608,86.01698039310448,87.67702393288857,9543000
2025-09-02,84.18087768554688,84.82739151037501,83.22403388587989,84.13014884628052,12416000
2025-09-03,83.93718719482422,84.31116914180183,82.77744324748765,84.31116914180183,9336000
2025-09-04,86.86042785644531,87.19561763806348,83.44982572859765,83.86757034561062,8134000
2025-09-05,90.02336120605469,90.13973020510814,87.3627113390758,87.49101698211432,11556000
2025-09-08,90.41027069091797,91.9390185624741,90.18747358032421,90.51172077850407,8865000
2025-09-09,91.28057861328125,91.77988395221095,90.53460286875793,90.58631820789903,6778000
2025-09-10,92.76258087158203,93.02118791899193,90.9990916155993,91.6913562509177,7128000
2025-09-11,95.41328430175781,95.87180927521578,93.24498113842934,93.49562789920844,10221000
2025-09-12,95.88473510742188,96.28954895596085,94.98757455421796,95.23424495051023,5839000
2025-09-15,98.36038208007812,98.46879837516909,96.18014229967754,96.18014229967754,8456000
2025-09-16,98.52549743652344,99.66634623234708,96.98281701714487,98.81692458269086,7761000
2025-09-17,98.45586395263672,99.46342897380262,97.10316071151641,98.50659279042739,7239000
2025-09-18,104.10738372802734,107.10123531021559,102.0286015346042,102.52989507223118,18247000
2025-09-19,103.92040252685547,104.6832854337751,102.37971021520544,104.62559797248514,15869000
2025-09-22,106.55020141601562,106.72127560490489,103.19331058960674,103.33156469923118,10207000
2025-09-23,106.54523468017578,106.97491593169384,105.50981995392259,106.21203308236382,8295000
2025-09-24,106.29358673095703,107.02265541526845,105.19650819075689,106.05985463818178,8680000
2025-09-25,105.34172058105469,106.12648089906232,104.01885516310759,105.29297991942374,7105000
2025-09-26,105.85794067382812,106.29259236614705,104.05466506622108,105.08709753060648,5054000
2025-09-29,105.84202575683594,107.9775012477305,105.74753428062279,107.14002387077613,7697000
2025-09-30,107.28126525878906,107.4075827328114,105.13981755158268,105.80920303163705,8863000
2025-10-01,112.28128814697266,112.81341357465354,106.40398962343583,106.94109307944633,11881000
2025-10-02,113.31471252441406,114.88026446191996,112.11717043030313,114.88026446191996,9249000
2025-10-03,109.56395721435547,112.63339768656552,109.32723524601377,112.19476959827938,9536000
2025-10-06,113.35946655273438,114.59380504876464,111.56613951229815,111.56613951229815,9460000
2025-10-07,107.89196014404297,113.59121802498396,107.71889778245684,113.46887691328126,8784000
2025-10-08,105.68885040283203,107.15494041257006,105.33276961806521,105.78035202466133,14760000
2025-10-09,104.78174591064453,106.07775587634721,103.16745325368625,105.68885499552901,12477000
2025-10-10,97.74768829345703,104.86131330065716,97.57064199007235,104.66437006154428,15760000
2025-10-13,101.95001983642578,102.83524379183129,100.94543702839135,101.07971478904166,12270000
2025-10-14,102.02064514160156,103.68666081248399,99.31922227489889,99.31922227489889,10557000
2025-10-15,108.11773681640625,108.70258680922804,104.82848205600912,105.1408001932406,13137000
2025-10-16,109.29041290283203,111.10064700460055,107.39961214882365,109.42469065656518,10311000
2025-10-17,110.07220458984375,110.3526891677376,107.82731111334533,109.24566217577593,8791000
2025-10-20,114.67040252685547,115.49494919287999,112.04556250374429,112.39964754104821,10785000
2025-10-21,114.12732696533203,115.01156444190941,113.2480751056414,113.46888405567272,7447000
2025-10-22,110.83409881591797,114.1273303142173,108.44896293270251,114.1273303142173,13614000
2025-10-23,115.27812194824219,115.68591808314598,110.07220464006406,110.07220464006406,9466000
2025-10-24,117.6473388671875,118.48681202615516,115.43726120152365,115.97436466564635,8255000
2025-10-27,120.86100006103516,121.46474533670724,119.35611785607189,119.35611785607189,9711000
2025-10-28,119.95687866210938,120.31694340326155,118.93738451377513,120.02053823583117,6654000
2025-10-29,122.86518859863281,125.2791680445449,121.78998762000944,121.94117246214336,14635000
2025-10-30,120.78939819335938,127.7578111181393,116.65171544206868,122.75976414615417,20377000
2025-10-31,120.22543334960938,123.37146381199108,119.44066538798627,121.71837896732585,8852000
2025-11-03,121.25984954833984,122.44744316536114,120.09911148282421,120.96145621793401,9055000
2025-11-04,118.70861053466797,122.2882984824822,118.50371458980369,119.17708396736289,12014000
2025-11-05,122.05158233642578,123.64697974733157,119.50830304769629,119.70922265028643,9011000
2025-11-06,119.99269104003906,121.64875819396013,118.53853757929981,121.64875819396013,11788000
2025-11-07,118.69667053222656,120.18365153100179,115.38951454584091,119.3451725157345,11421000
2025-11-10,121.14148712158203,122.02472289753617,119.52818858962043,121.43888636977279,9481000
2025-11-11,118.45099639892578,120.42037567270262,117.86416579817089,119.66445147192935,9118000
2025-11-12,119.25367736816406,120.33683107513069,118.64496163392532,120.1637611171325,8246000
2025-11-13,115.54865264892578,118.63699548034771,114.25463852783994,118.07900861434901,12035000
2025-11-14,112.8233642578125,116.89142274787474,112.1022558624365,112.94471128918734,14446000
2025-11-17,112.95088958740234,115.15769739137524,111.39764727784673,113.56859266872547,13265000
2025-11-18,111.89381408691406,113.62240074520504,109.3831333700583,111.03201394814683,11519000
2025-11-19,116.31441497802734,117.30374028034798,112.53144706475359,112.7715610602897,9593000
2025-11-20,109.83744049072266,119.704825948341,109.3522413564782,118.3568233843285,11719000
2025-11-21,109.30641174316406,110.67234558291094,106.79971411450406,109.29445507132255,14384000
2025-11-24,113.25276947021484,114.37261480720842,109.89224530451621,110.08153774250808,15796000
2025-11-25,114.1653823852539,114.42342758538227,110.33260391696358,112.60118669130985,9442000
2025-11-26,115.47850799560547,116.29547628233514,114.06375933342308,115.34699980955321,11257000
2025-11-28,117.11244201660156,117.16325596981807,114.67448963709711,116.4568774099962,3893000
