Date,Close,High,Low,Open,Volume
2025-07-30,716.7235107421875,719.276680942313,710.8124793944487,712.1933875127581,1407000
2025-07-31,690.15869140625,702.9045931514984,686.6816213431713,701.7721078423444,2892200
2025-08-01,685.30078125,688.8871164613012,679.0022898883881,685.4795947376091,1627100
2025-08-04,694.7781982421875,694.8676352957023,688.3605590937095,691.0229940650863,1025600
2025-08-05,685.1119995117188,691.0726914305236,679.7572967188553,690.1686192004071,1261200
2025-08-06,686.4332885742188,687.8936289582732,680.9494327224545,683.144976027812,1218700
2025-08-07,708.4481201171875,712.2033852446489,701.9907036763472,709.3422481861913,1723800
2025-08-08,717.5878295898438,718.7600917099012,705.7955990728766,707.7427196025038,1042900
2025-08-11,716.5844116210938,727.0652822881055,714.8061604449279,719.2567907968418,1179700
2025-08-12,736.9302978515625,738.4800754160416,718.7402543699849,720.7768727367333,1461800
2025-08-13,750.6199951171875,751.2458726103073,742.6425734445658,745.7123564172622,2011900
2025-08-14,750.2623901367188,752.0406414231347,739.6821375719584,742.384349478363,1577400
2025-08-15,737.2978515625,742.2552114489723,731.8338837788264,733.6618560441674,1635100
2025-08-18,742.652587890625,743.0996519473322,734.5957332221169,734.8242070273078,1086400
2025-08-19,738.73828125,750.7391570292605,736.8507653362544,746.6163211836113,1121300
2025-08-20,744.5797729492188,748.5039070011469,733.3438718378503,745.8811881748401,1368400
2025-08-21,730.5820922851562,736.6421042222152,727.3136077295618,734.5161097600555,952700
2025-08-22,749.9444580078125,756.5806876432886,735.5195643593021,736.8209796516062,1456000
2025-08-25,749.517333984375,753.2924269473025,747.1628653974964,749.8054122809565,731100
2025-08-26,758.2000122070312,758.4980346711991,750.9577328336422,753.7990420194898,860100
2025-08-27,764.9554443359375,765.5316615186438,752.8254147470481,755.0209580458604,1140700
2025-08-28,758.4583129882812,768.1046603802631,755.8852543567141,764.9554452006307,985400
2025-08-29,737.7548828125,748.6629303432265,734.9434059600007,748.0668853659784,1317800
2025-09-02,721.0946655273438,722.4358575621735,711.5079226064719,712.5113154267785,1867400
2025-09-03,731.9928588867188,733.4631435202087,724.7804118154397,727.422958607428,1330300
2025-09-04,748.4940795898438,751.9413782603787,730.6120022056283,732.2213843193838,1532700
2025-09-05,776.5787963867188,777.969588069972,761.2200589322566,769.8034695394836,1887300
2025-09-08,791.033447265625,793.4674084611927,781.595685571404,784.476710763756,1284500
2025-09-09,799.8553466796875,800.5607170765737,787.9240182402405,789.9904084882835,1324100
2025-09-10,787.9439086914062,804.2960353253782,785.8378023190228,801.5342794969981,1634300
2025-09-11,798.8916015625,803.8489610229644,793.2786533391586,794.4509154139554,1297800
2025-09-12,808.5379638671875,810.4354845471813,801.0175510922919,803.223038396357,1019700
2025-09-15,861.6179809570312,863.0286610276672,828.4566609797846,829.4600537934052,2702300
2025-09-16,872.6651000976562,875.6852226408482,861.8862070681613,874.1751613692522,1832400
2025-09-17,866.5554809570312,871.8803512153738,855.5381086521439,862.5419095691584,1553300
2025-09-18,921.7216186523438,932.5303445021755,910.0287696124371,922.5859141019926,3176100
2025-09-19,926.043212890625,932.5006293216043,919.8043260646756,920.0030279280725,2410200
2025-09-22,951.525146484375,958.2209809767567,947.34276629143,954.6247015571968,1885000
2025-09-23,957.19775390625,971.0762029557001,949.7369445668443,958.0918213431794,1664800
2025-09-24,940.736328125,947.3526698839755,934.7855800268499,943.4980840209288,1400700
2025-09-25,943.3291015625,946.4187121414869,930.9805427988621,932.0534842596928,1272600
2025-09-26,945.2862548828125,948.961966286377,936.5736910399324,940.0408170388738,955200
2025-09-29,956.3035888671875,965.7016349095933,956.0651708932226,957.4162465025526,1213800
2025-09-30,961.7476806640625,969.2482054577279,956.7605492949375,961.6979597258916,1303600
2025-10-01,996.697265625,998.7735393875993,958.499152172052,959.2839547919143,1963800
2025-10-02,1023.4210815429688,1033.4151123125303,1015.1952972775265,1032.1931898260407,1689100
2025-10-03,1025.4576416015625,1033.0376604295334,1018.7419183369376,1024.2456632291644,1352300
2025-10-06,1036.4649658203125,1052.0620602257195,1033.285857559643,1033.6235961255773,1385400
2025-10-07,995.7335815429688,1038.0048099732876,994.4421104097552,1035.9980242732624,1667800
