Date,Open,High,Low,Close,Volume
2025-05-30,188.0399932861328,189.1199951171875,182.42999267578125,188.8300018310547,2627900
2025-06-02,188.4199981689453,193.17999267578125,183.64300537109375,193.0,2416500
2025-06-03,193.67999267578125,195.2899932861328,190.36000061035156,193.75,2828600
2025-06-04,194.19000244140625,201.78500366210938,193.86500549316406,199.72999572753906,6495200
2025-06-05,234.75,237.17999267578125,222.05999755859375,225.3800048828125,13170000
2025-06-06,227.64999389648438,227.92999267578125,219.13999938964844,220.13999938964844,3374300
2025-06-09,222.42999267578125,223.25999450683594,216.67599487304688,217.22999572753906,2266300
2025-06-10,218.30999755859375,220.0,212.81500244140625,213.02999877929688,2519900
2025-06-11,213.6699981689453,214.99000549316406,209.63999938964844,210.60000610351562,2382100
2025-06-12,210.21499633789062,218.1199951171875,209.9600067138672,210.66000366210938,2184500
2025-06-13,207.39999389648438,210.50999450683594,204.625,205.6300048828125,1569200
2025-06-16,207.17999267578125,209.8000030517578,202.11000061035156,202.5,2067900
2025-06-17,201.0800018310547,207.08999633789062,200.57000732421875,205.60000610351562,1860100
2025-06-18,205.82000732421875,208.85499572753906,200.35000610351562,204.14999389648438,2084400
2025-06-20,207.4600067138672,212.94000244140625,200.4499969482422,201.5,3617100
2025-06-23,200.47999572753906,204.0399932861328,196.0,203.24000549316406,1610200
2025-06-24,206.2100067138672,210.3300018310547,205.4499969482422,209.25,1916700
2025-06-25,210.83999633789062,212.0,204.3699951171875,206.75999450683594,1550400
2025-06-26,208.77000427246094,210.82000732421875,203.2899932861328,209.1999969482422,1519100
2025-06-27,209.38999938964844,211.56500244140625,206.36000061035156,209.9199981689453,3107000
2025-06-30,212.1699981689453,214.1699981689453,207.9499969482422,209.99000549316406,1662800
2025-07-01,210.0,211.67999267578125,203.35000610351562,206.0399932861328,2148800
2025-07-02,206.0500030517578,208.47999572753906,203.13999938964844,204.42999267578125,2169800
2025-07-03,205.41000366210938,213.78500366210938,205.41000366210938,211.33999633789062,1522900
2025-07-07,209.99000549316406,211.4550018310547,205.6699981689453,210.00999450683594,1575600
