Date,Open,High,Low,Close,Volume
2025-08-26,109.92004645767365,109.92004645767365,108.84344435155371,109.24110412597656,4310200
2025-08-27,109.24109951087935,109.8424471392913,109.0859175615109,109.49327850341797,3328100
2025-08-28,109.59998001532705,109.76486316505314,108.20330533567973,108.41668701171875,3697300
2025-08-29,108.14511085472105,108.28089784587014,107.36917884829538,107.67955017089844,2896200
2025-09-02,107.62136000366853,107.7959443385994,106.35077853268263,106.77753448486328,2528600
2025-09-03,106.93271148532102,107.0103061585044,105.57483430395305,106.71932983398438,2429800
2025-09-04,107.21398759075451,107.39827309126495,103.7223086642625,105.37115478515625,5218200
2025-09-05,105.72032951701296,105.87551887372976,104.11997442509102,104.85710906982422,3664400
2025-09-08,104.96380364856253,105.04139832969014,103.6544248538375,104.31396484375,2708100
2025-09-09,104.0617817172186,105.3129681515659,103.90659236109686,105.0995864868164,2678700
2025-09-10,105.16747316424868,105.54573794548531,104.35274389708378,105.0801773071289,2528600
2025-09-11,105.08018129777373,105.65243278332272,104.87650082320614,105.46814727783203,2634600
2025-09-12,105.39055648368625,106.41866000666174,105.24506832104143,106.1664810180664,2180700
2025-09-15,106.14708016224793,106.47684640610623,105.44874294015393,105.81730651855469,2511600
2025-09-16,105.81731426843483,105.85611160581871,103.40223736501277,103.62531280517578,4044500
2025-09-17,104.27515728990433,104.68251822617097,103.88719132210188,104.28485107421875,2540200
2025-09-18,103.8871968691234,104.10057853279994,103.10157110725588,103.23735809326172,2513400
2025-09-19,103.34404991555927,104.39154847481005,102.51961940711924,103.83869934082031,5846000
2025-09-22,103.73200533540178,104.14906746932877,102.92698462093996,103.8290023803711,2645900
2025-09-23,103.56712008473806,105.109282790278,103.56712008473806,104.88619995117188,3052200
2025-09-24,105.00259499686759,106.29257134777666,104.83770445892233,105.60393524169922,3029100
2025-09-25,106.04039469048395,106.66113727480092,104.53702935043904,104.6146240234375,2758000
2025-09-26,105.10927366249643,106.21497177807036,104.8958920261866,105.8561019897461,3303000
2025-09-29,105.99190440223315,106.83572988700129,105.22567359649018,106.47686004638672,2879900
2025-09-30,106.51565818382427,109.23141277136281,106.37017000952115,109.11502075195312,4322900
2025-10-01,109.56117100867303,110.0558278050187,108.88223611159889,109.35749053955078,4407800
2025-10-02,108.7367561768066,110.62808024738152,108.36819254762266,110.04613494873047,4243400
2025-10-03,109.92973736303907,111.54949477205601,109.92973736303907,110.6280746459961,3554600
2025-10-06,110.628075342638,112.35451619202254,110.0267351006215,112.17993927001953,5123200
2025-10-07,113.06255075043974,115.47762761908477,112.73278448717853,114.6047134399414,4141800
2025-10-08,114.99267437398687,115.10906638685674,112.65519213090892,114.6338119506836,3869600
2025-10-09,115.19635444931033,115.2351517867998,112.88796836745279,113.39232635498047,2915900
2025-10-10,113.98397062995346,114.20705348079063,112.17024126810675,113.51841735839844,3890000
2025-10-13,113.4408188538614,114.27494312042062,112.71338541673434,113.28563690185547,2253200
2025-10-14,113.70270031656128,115.11876986881408,113.47961747073384,114.8180923461914,3189800
2025-10-15,115.8074027072099,115.8074027072099,114.23614384571357,114.96357727050781,2495200
2025-10-16,116.28266651856475,116.83551567000659,113.82879208497496,113.9936752319336,4072000
2025-10-17,114.54652438337543,114.6435140345372,113.2468467781682,113.9936752319336,2762000
2025-10-20,114.5756106032021,114.63381030872115,113.35352778483285,114.27494049072266,2989400
2025-10-21,114.42042805778979,114.44952421047982,113.03345471416091,113.89667510986328,2395600
2025-10-22,113.8966825827404,114.61441486224845,113.54751392788009,113.74149322509766,2461700
2025-10-23,114.0906563612921,114.16825103636015,111.95685459576926,112.68428802490234,2284100
2025-10-24,112.96556511218687,113.5960089082297,112.36421746983537,112.49031066894531,1888200
2025-10-27,112.00536214949196,113.19834892556196,111.65619348336512,112.88797760009766,2811100
2025-10-28,113.0140631099286,113.1013589761486,111.21972865806579,111.64649200439453,3890300
2025-10-29,116.68033025602219,119.09540727772783,116.39905509608955,118.43586730957031,9568500
2025-10-30,117.89271450334778,119.15359467888403,117.16528107136456,118.22248077392578,4430100
2025-10-31,117.25257434194427,117.35926517499931,116.17597222645121,116.64153289794922,4518400
2025-11-03,116.38934699329195,116.51543278859396,114.78899199216711,116.31175231933594,3108600
2025-11-04,116.73852067720776,117.25257246469604,116.02078841164877,116.68032836914062,2678700
2025-11-05,116.94219615925591,117.49504526178197,114.63381010657152,116.15657043457031,3738900
2025-11-06,115.8074011438218,116.8840031899701,115.59401949145578,115.93348693847656,6242600
2025-11-07,116.42814538819712,117.94120454491103,116.28265722316644,117.77632141113281,3283900
2025-11-10,118.22600556237944,120.54281596630821,117.78609947155105,119.80964660644531,5090000
2025-11-11,120.11269539180365,120.45483960251396,119.50660603412794,119.97583770751953,3469000
2025-11-12,119.95628938905107,120.23000477368566,119.07648461116497,119.92696380615234,3493100
2025-11-13,119.50661594660228,120.26911095319737,118.69523999520081,118.75389862060547,2900500
2025-11-14,118.85164200156453,119.61413693726513,117.93273402357438,118.57792663574219,3047300
2025-11-17,119.57503447794736,121.22711182182523,118.83208743846238,120.94361877441406,4266000
2025-11-18,121.62790193277384,121.99937916554099,120.52326283017233,120.73832702636719,3121500
2025-11-19,120.55259242520727,120.70900546698918,118.46061646957233,118.97872161865234,3569700
2025-11-20,119.11558313358722,119.54571155414226,118.0793728020878,118.18690490722656,3298400
2025-11-21,118.45083879773402,118.98849930616443,117.76655038535381,118.12824249267578,3232800
2025-11-24,118.05981105479637,120.08335812482491,116.90629100059463,119.30131530761719,6435000
2025-11-25,119.84875350138694,120.05404003339119,118.30420821314385,118.85164642333984,4552200
2025-11-26,119.06671179231496,120.04427097793928,119.06671179231496,119.966064453125,2681100
2025-11-28,120.12247320374354,121.11958777588751,119.9660676081863,120.99250030517578,1801300
2025-12-01,120.34730875689065,120.4646185410104,117.66879874739134,117.80565643310547,3322200
2025-12-02,118.05981687252883,118.66590623873351,116.14380180740419,116.55438232421875,2878900
2025-12-03,116.55438683542843,117.04316643600642,115.12714383853806,115.41063690185547,3429600
2025-12-04,115.53771812755802,116.43707075405594,114.6383580428757,115.39108276367188,3501500
2025-12-05,115.22490191871611,115.46929171093163,114.20823948811744,114.90230560302734,3166400
2025-12-08,114.90230666631273,114.94140992841122,112.72234641797618,113.13292694091797,3422900
2025-12-09,113.6705727741867,114.46239327124228,113.22089647597093,113.46528625488281,2196400
2025-12-10,114.04204994841425,114.04204994841425,111.28532608395321,111.59815216064453,3241300
2025-12-11,111.94030501985281,112.72234789753342,111.12892910157483,111.69591522216797,3171500
2025-12-12,112.41931161374633,112.84944006219206,111.2853393253658,111.56883239746094,2671700
2025-12-15,112.1749129031801,113.47506836775203,111.84254637080292,113.1720199584961,3031100
2025-12-16,113.17201509447199,113.51416675015832,111.42219084750585,111.99894714355469,2706000
2025-12-17,111.871880770704,112.4486371370056,111.31467230741896,112.13581848144531,3808900
2025-12-18,112.41929628176929,113.20134654352478,112.41929628176929,112.98628234863281,4794800
2025-12-19,112.56593080008737,113.77810198441834,111.79365822335389,111.92073822021484,7322400
2025-12-22,111.59815997425903,112.33132936192327,111.285333875665,112.04783630371094,3049000
2025-12-23,112.0185026455976,112.64414738115083,111.676358424878,112.5659408569336,2918000
2025-12-24,112.46819104735692,112.80055760164622,112.23357146507453,112.72235107421875,1057700
2025-12-26,112.6050403132916,113.32843199239069,112.4193016890993,113.07426452636719,1896100
2025-12-29,113.49461626922768,114.1007056295551,113.0253920519676,113.1720199584961,1814700
2025-12-30,112.98628958330774,113.60214916960034,112.85920211917906,113.3870849609375,6956400
2025-12-31,113.40664700193162,113.46529816840975,112.57572315802345,112.72235107421875,1579400
2026-01-02,112.84943610515752,113.59237572509545,111.85232154748508,113.21112823486328,3906700
2026-01-05,112.9765086821462,112.9765086821462,110.01450570299887,111.51016998291016,3894400
2026-01-06,111.49063064289287,112.64415080652802,111.29511432640436,112.45841217041016,2535800
2026-01-07,112.74190188166467,112.92763305407226,110.7085769997838,111.14847564697266,2557000
2026-01-08,111.32443847161257,113.88564624814835,111.18758078093052,113.32843780517578,3230800
2026-01-09,113.39686319714887,114.77522520042211,113.34798225560043,114.28644561767578,2867700
