Date,Open,High,Low,Close,Volume
2025-09-02,155.85793185230293,157.42924257073665,155.15183067081588,156.70326232910156,7683400
2025-09-03,157.18063542754948,157.18063542754948,153.62032570422292,155.39053344726562,7335000
2025-09-04,155.08223158231084,158.7917099211777,154.54519343360704,157.3695831298828,6245100
2025-09-05,159.37847306280213,161.95423811735634,157.94640663161462,161.8547821044922,7046800
2025-09-08,162.90894384743314,163.74431969921852,160.95973352660053,161.15863037109375,7933600
2025-09-09,161.02935125862336,163.35647636052045,160.8602881708641,162.6006622314453,5315400
2025-09-10,163.396251961081,164.49019217947043,161.65587803764404,162.52108764648438,5690200
2025-09-11,163.09790035826543,169.72126995380444,163.09790035826543,169.2140655517578,8999900
2025-09-12,166.98639444009746,168.73670788492547,166.26039896722557,166.8769989013672,5170600
2025-09-15,168.17978048246007,170.11905111999303,167.60296905632237,169.98976135253906,5597600
2025-09-16,171.51137270614416,173.1423511104447,170.63620838071483,172.58541870117188,6447500
2025-09-17,173.2915295305916,178.56237966175897,173.0130708979887,177.1501922607422,9588300
2025-09-18,186.96588829096171,190.49636421653364,182.81882758974604,188.71620178222656,15473700
2025-09-19,189.7703773091525,190.7947104475693,187.6222550252497,189.05433654785156,18903500
2025-09-22,192.12732562612217,200.04353169757655,191.3714964327168,199.41700744628906,15475500
2025-09-23,200.1231113357434,202.9773349515107,197.70648506170198,199.7650909423828,12417900
2025-09-24,197.98493584247655,202.62924606630182,196.31416901466113,200.3319549560547,6360500
2025-09-25,197.94514281561703,199.615909604992,195.12076831972644,198.5020751953125,6027600
2025-09-26,198.89987362412182,204.07126730337777,196.3042296663328,202.79830932617188,7363300
2025-09-29,205.2049852785679,209.34210607624422,203.5541127715833,203.8226318359375,9295400
2025-09-30,203.23588544420463,209.11338017732243,201.75407596673594,203.61380004882812,12253800
2025-10-01,203.61380560841613,217.23844388434122,202.49001646915468,216.54229736328125,12699200
2025-10-02,223.7623551561523,225.1646028904296,217.52683994350787,222.360107421875,11166000
2025-10-03,218.70036371305397,219.28711470908553,214.41407378549286,216.3334503173828,9269800
2025-10-06,221.1169886736455,225.24417020866534,219.55563253679568,222.67835998535156,7891900
2025-10-07,222.67835940067988,223.5932970075834,210.10788786801913,210.3962860107422,10543300
2025-10-08,208.84486803858508,217.4472815330891,207.85036866697274,216.3135528564453,7875500
2025-10-09,215.8063751815488,219.64514356827013,214.32456557564862,219.08822631835938,6701400
2025-10-10,219.4860035105734,223.23527030904233,208.57634442705788,208.79513549804688,12829700
2025-10-13,219.13794511904632,219.9136534238157,215.83619988347914,218.27272033691406,7853000
2025-10-14,212.72342650367955,220.43079724910066,212.53448435486553,216.98983764648438,8260000
2025-10-15,222.7280878758466,226.8453147030526,219.30700757983846,226.3281707763672,8033600
2025-10-16,229.3315549361939,230.79347018675386,222.79768695819865,226.46739196777344,7742800
2025-10-17,225.2242810149644,226.10938487665413,221.47501401663516,223.75242614746094,5272800
2025-10-20,225.90053225166955,230.05754762744786,225.28394748068374,226.87515258789062,5494800
2025-10-21,224.67728942798027,226.90497341605968,223.97120339338014,224.75685119628906,4557500
2025-10-22,224.75685005901227,225.52261879711097,214.88147893105804,219.34677124023438,7498100
2025-10-23,217.18871663222487,229.2818326036418,216.9201975535816,227.21327209472656,7001900
2025-10-24,227.74036985303533,229.45091008950087,225.04526971626538,227.4917449951172,5346700
2025-10-27,231.71835301910372,234.4929995821812,229.85864405468976,230.0575408935547,7671700
2025-10-28,228.41662004508012,229.74926080394175,225.8309306518428,226.38784790039062,6118500
