Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-06-11 00:00:00-04:00,68.37530715770447,69.13470703763902,67.02200867649282,67.7619400024414,12731500,0.0,0.0
2025-06-12 00:00:00-04:00,66.87597100510368,67.36276652576296,65.90237996378511,66.13603973388672,7700300,0.0,0.0
2025-06-13 00:00:00-04:00,64.78274696948891,65.55188476197623,63.77021142347687,63.994140625,9841200,0.0,0.0
2025-06-16 00:00:00-04:00,64.98720940835553,66.55469175760642,64.72434306554639,66.3891830444336,9211800,0.0,0.0
2025-06-17 00:00:00-04:00,65.79527866805697,66.9343783052443,65.46425388010718,65.90237426757812,6922900,0.0,0.0
2025-06-18 00:00:00-04:00,66.20419477636574,67.47959673997904,65.7563437618749,66.22366333007812,5642500,0.0,0.0
2025-06-20 00:00:00-04:00,67.65483889869455,67.83982357215646,65.60056122193684,67.14857482910156,19067200,0.0,0.0
2025-06-23 00:00:00-04:00,67.2459403344479,68.76474014928183,66.17499155660572,66.76888275146484,7498000,0.0,0.0
2025-06-24 00:00:00-04:00,67.9566628541008,69.44625607281121,67.79114671920242,68.57002258300781,8422200,0.0,0.0
2025-06-25 00:00:00-04:00,68.44345772304644,69.78701077528022,67.50880372472393,69.70912170410156,7586600,0.0,0.0
2025-06-26 00:00:00-04:00,69.7578011295724,69.95251637095255,68.81341661026696,68.91077423095703,7060700,0.0,0.0
2025-06-27 00:00:00-04:00,69.17364928393907,69.6409688432414,67.93718445130112,68.62843322753906,6885600,0.0,0.0
2025-06-30 00:00:00-04:00,68.76474028952448,68.90104245636904,67.66458496344733,68.51161193847656,5861600,0.0,0.0
2025-07-01 00:00:00-04:00,67.62563676712058,70.58535459601302,67.48933460765079,69.7870101928711,8034500,0.0,0.0
2025-07-02 00:00:00-04:00,69.62150882467515,71.57842178950258,69.10550667689743,71.22793579101562,8245500,0.0,0.0
2025-07-03 00:00:00-04:00,71.88023111879706,72.43517773650626,71.01373565303899,71.13056182861328,3810800,0.0,0.0
2025-07-07 00:00:00-04:00,71.03321119353419,71.62710240415659,69.2320690064597,69.59230041503906,7790100,0.0,0.0
2025-07-08 00:00:00-04:00,70.78006997264428,73.74952579770971,70.38090148430551,72.59095001220703,11350500,0.0,0.0
2025-07-09 00:00:00-04:00,72.42543663862217,73.58401234943024,71.94837911037008,72.70777893066406,6484200,0.0,0.0
2025-07-10 00:00:00-04:00,73.60347779463731,75.16122190228751,73.00958669298477,73.09721374511719,7550400,0.0,0.0
2025-07-11 00:00:00-04:00,72.07494791786367,73.07774556202689,71.77313705390675,72.59095001220703,4885900,0.0,0.0
2025-07-14 00:00:00-04:00,71.63683997834127,72.503335524284,70.8579640721875,72.09442901611328,5756200,0.0,0.0
2025-07-15 00:00:00-04:00,73.03880793827786,73.40877734501356,71.15004607722445,71.17925262451172,6016200,0.0,0.0
2025-07-16 00:00:00-04:00,70.97479278940496,72.47412397715871,70.15697240157989,72.46438598632812,7036500,0.0,0.0
2025-07-17 00:00:00-04:00,72.25993288947149,72.58121973632164,71.48105703551546,72.33782196044922,6255400,0.0,0.0
2025-07-18 00:00:00-04:00,73.19458321061882,73.63269625848973,72.0944278813114,72.80514526367188,5239400,0.0,0.0
2025-07-21 00:00:00-04:00,73.16537542871473,74.08054604648508,71.85102887939033,71.89970397949219,6153700,0.0,0.0
2025-07-22 00:00:00-04:00,71.47132651007568,73.5645414413483,71.1597702260013,73.27246856689453,8819400,0.0,0.0
2025-07-23 00:00:00-04:00,68.83288074013846,69.85515426147026,66.3989032397388,68.39476776123047,19476800,0.0,0.0
2025-07-24 00:00:00-04:00,67.09989754214331,67.58669309731482,64.96773806147134,66.01921081542969,13363800,0.0,0.0
