Date,Close,High,Low,Open,Volume
2025-08-15,136.9219512939453,139.30456356416977,136.2970050345335,137.45901797779,1889700
2025-08-18,136.23841857910156,136.8731242688331,133.9729790774925,136.05288509751705,1408000
2025-08-19,135.6916046142578,137.33208310377282,134.56864419355594,135.20336484001234,1324000
2025-08-20,134.62722778320312,137.14654675391353,134.41240109501032,136.1310146005527,1582000
2025-08-21,134.75416564941406,135.7111113494468,133.2015668820367,134.42216620857127,1734700
2025-08-22,139.90997314453125,140.4079722955864,135.25216203799081,135.63298842406684,2029200
2025-08-25,141.85317993164062,142.13635242828084,138.80655378559948,140.02715315022803,1623100
2025-08-26,140.57400512695312,141.15012449594127,138.9139779418886,140.88647084068225,2046200
2025-08-27,143.60107421875,144.18696788414545,140.57399668059313,140.76928960242665,1987800
2025-08-28,145.6614532470703,145.85674617784412,142.47813526576027,144.1381475271809,1061400
2025-08-29,145.26107788085938,146.5890905312579,144.8119056769873,145.0169580179177,1214100
2025-09-02,146.33522033691406,146.57934021503516,143.49366137960956,144.9681549793938,1558700
2025-09-03,138.94325256347656,145.1927299015037,138.19137412475476,144.52871613626178,1952800
2025-09-04,139.38270568847656,140.41777169698287,137.2344386143354,138.60151901605218,1572700
2025-09-05,135.44747924804688,138.7089172321009,133.846053449298,137.4687840837122,1995100
2025-09-08,134.0511016845703,136.60947315157347,132.45943536584073,136.33606008944614,2052100
2025-09-09,133.0843963623047,136.60948826753022,133.0258099710654,134.78347620772425,2149800
2025-09-10,136.35560607910156,136.81455266737865,132.91839383282294,133.76794118766335,2005900
2025-09-11,135.164306640625,136.09195929572144,133.77770737407835,134.26594718201292,1573000
2025-09-12,133.6605224609375,136.9024267435346,133.62145493590535,135.55489512782813,1752000
2025-09-15,131.3657989501953,134.2757039763491,131.14121281492842,134.22689191643173,3109100
2025-09-16,135.164306640625,136.77550694674704,132.40086753972764,132.44969450050039,2752100
2025-09-17,137.16607666015625,138.98232912751806,133.289451850249,134.4905174641818,2225200
2025-09-18,137.33206176757812,137.85935408588801,135.44746368373546,137.49806147704408,1954500
2025-09-19,136.3848876953125,137.3906603714945,134.4612219205036,137.3906603714945,4089400
2025-09-22,135.56463623046875,136.0333421682184,132.92814484327386,134.96898320337087,2136700
2025-09-23,138.83584594726562,143.0737782337019,136.41418099779807,136.41418099779807,2423600
2025-09-24,141.2086944580078,144.65566573910183,140.81810863631267,140.90598821120997,1998900
2025-09-25,142.36093139648438,143.73777098667756,140.52516017612066,141.20869280603767,1306500
2025-09-26,144.76309204101562,147.44841078039366,141.89223980475185,142.79059919502907,1646100
2025-09-29,140.2029266357422,143.68895065898025,139.53891283614308,143.2788310621225,1808100
2025-09-30,139.73422241210938,140.7399951051333,137.43948962711616,138.40620969609316,2488400
2025-10-01,140.1638641357422,141.04270464613015,138.07419855311022,138.27926580883593,1497300
2025-10-02,139.8220977783203,144.22601482673676,138.72844553922133,138.86515206910872,2614600
2025-10-03,144.00143432617188,144.43108769394186,140.2029296336889,140.2029296336889,2012300
2025-10-06,145.59310913085938,148.903374260882,145.05604239002176,145.50521464607087,2499600
2025-10-07,145.40756225585938,145.56380254789593,142.23400396085148,144.22601553468755,1358100
2025-10-08,145.5637969970703,146.34496862767583,143.04447825865432,145.64190224021584,1399900
2025-10-09,140.818115234375,147.93664423258326,140.6325817454137,146.28639149379438,1481000
2025-10-10,136.53138732910156,139.77329191263973,136.40444021080546,138.33786568231005,2134500
2025-10-13,138.7675018310547,139.7244475655676,137.43948911993905,138.88467460265778,1527300
2025-10-14,138.4940948486328,139.73422803552995,135.73065596439193,136.11148238872786,1751500
2025-10-15,138.60150146484375,140.80833975258483,137.4883154400689,139.8221008297238,1105700
2025-10-16,136.16030883789062,139.9783473983375,134.02181627078878,139.25574717797898,1915000
2025-10-17,135.81854248046875,136.74619511019276,134.34406366479777,136.3653686664157,1541200
2025-10-20,137.869140625,138.63079342994868,136.12123400602957,136.60947374765792,2216200
2025-10-21,138.20114135742188,138.79679444373872,136.21888917998427,138.05467539353026,1410200
2025-10-22,138.93350219726562,141.49187372167953,137.51760990092728,139.73422253996006,2404200
2025-10-23,143.70849609375,145.86652249286945,143.0542565718186,144.14790891894026,2477500
2025-10-24,142.42930603027344,144.8802643070628,141.78482595912084,144.28461119279666,1434400
2025-10-27,141.00364685058594,144.18697985024778,140.51540705553558,143.0542599497559,1389400
2025-10-28,137.8203125,140.56421744065733,137.1074866552489,140.2615111874025,1140500
2025-10-29,140.2517547607422,141.94106011663843,137.38090265888144,137.38090265888144,1473300
2025-10-30,138.80654907226562,141.2086950962406,138.57220353814694,140.2517493988365,1392100
2025-10-31,139.8220977783203,141.1012835008152,138.5722052479517,138.75773873134762,1653700
2025-11-03,137.947265625,140.2908105073105,136.55089216686963,139.88069089790093,1964300
2025-11-04,136.14076232910156,138.25972093513298,134.26592358413222,138.25972093513298,2390400
2025-11-05,134.0608673095703,137.50785373759396,133.80698799726306,135.92594677660165,1830700
2025-11-06,137.4590301513672,139.7244549549041,135.0861771016532,135.23265797379838,2062700
2025-11-07,140.27127075195312,141.22823136625138,136.36535284838442,138.60149919211833,1564600
2025-11-10,141.3258819580078,142.3316547086257,138.9237505943576,141.072002637428,1332800
2025-11-11,144.66543579101562,146.44263567996677,141.41377208192606,142.78083745812302,1432400
2025-11-12,142.7320098876953,145.13415606684254,142.25352955813767,144.51896920025342,1295000
2025-11-13,141.95529174804688,144.70825663653306,141.02123401531037,142.6632012915243,1602100
2025-11-14,146.69432067871094,147.30391855255797,140.7360951870513,142.3878889386432,2001800
2025-11-17,143.911865234375,146.49770195561035,143.38094056665744,146.18306881730825,1271900
2025-11-18,147.06796264648438,148.8082415543588,142.01428415346254,143.115470127807,1853500
