Date,Close,High,Low,Open,Volume
2025-09-25,127.54090881347656,128.46662571458415,124.44519928254041,125.85867640061524,9621700
2025-09-26,127.739990234375,128.16800597053512,125.78900246582863,127.35178391072289,8789000
2025-09-29,130.48727416992188,132.74684147591233,130.42755246653905,132.468130067704,11015500
2025-09-30,133.28436279296875,133.59295026650116,130.20857331050806,130.74609906176622,10328800
2025-10-01,142.1334991455078,142.43212289721023,131.33339243657727,131.80123277022957,15549100
2025-10-02,146.31419372558594,146.6725391713704,143.0492753033872,146.29428142619955,16417100
2025-10-03,145.13961791992188,147.22996898361544,143.93518955138126,145.14958166440172,8970300
2025-10-06,148.46426391601562,152.99334793571515,148.43440305869785,149.21081572623086,11217100
2025-10-07,139.70472717285156,148.67329696028727,138.85862909217656,148.5438897932433,16549800
2025-10-08,141.8846435546875,142.22309189530526,136.9773172850258,137.2759410262135,13695700
2025-10-09,140.3517303466797,142.20317931198977,139.93366318530443,141.09828210384288,8102500
2025-10-10,130.7659912109375,141.14804477412278,130.41760952998672,139.95356508911547,18749000
2025-10-13,137.1763916015625,138.2613764875624,135.95205099799048,137.4551030367068,10048100
2025-10-14,137.67408752441406,140.2720880942289,133.4237155172324,133.48345241274822,10509700
2025-10-15,144.11434936523438,144.55232882439324,140.45127604978634,143.33793675622888,9722700
2025-10-16,141.71542358398438,146.90147635952428,139.72461894193412,146.90147635952428,11650300
2025-10-17,140.859375,141.99413302246958,139.1771578595706,141.60592673027298,6389800
2025-10-20,143.38772583007812,145.80654649083735,142.7705659833658,142.83030288876583,8919400
2025-10-21,144.37313842773438,144.7713084485556,141.81496249422835,143.31801445266626,8855600
2025-10-22,140.60057067871094,145.07988089502385,136.23075531967544,144.23378288982255,16927800
2025-10-23,146.86166381835938,147.77744739488608,136.73842320505403,137.3655315791482,13336600
2025-10-24,150.98260498046875,152.5055843863333,147.31953201549217,149.22075394555858,10966400
2025-10-27,156.17861938476562,157.5224186047145,155.023964226191,155.4221190824396,13313100
2025-10-28,154.9044952392578,155.41216011388875,153.5706598526991,154.8049641261817,7939700
2025-10-29,159.93128967285156,162.34016147577768,157.36314985271528,157.52241786992545,12783300
2025-10-30,160.2697296142578,164.4603802615818,159.56300243944898,161.62347744068245,10440600
2025-10-31,156.73605346679688,163.30569955984717,155.8800068778336,161.8026475487541,9652100
2025-11-03,160.49867248535156,161.49407478637764,158.268965863145,159.25441960906898,7302400
2025-11-04,155.06378173828125,160.34936595261374,154.44663712226048,154.91447745654557,11211100
2025-11-05,164.29115295410156,166.1525503981533,156.27816138667583,156.84554798926084,11130200
2025-11-06,161.44430541992188,164.45042469234,159.4535007711798,162.63878517144033,9640100
2025-11-07,158.61737060546875,159.2146029025046,152.4956370375683,159.09515948082432,11609300
2025-11-10,165.60507202148438,166.38148458272263,162.94734976360988,163.80339632967173,10030600
2025-11-11,158.44813537597656,163.8631264737411,156.98490792647823,163.41519846359802,9144600
2025-11-12,160.67784118652344,161.41444437359152,157.7513559261665,160.5683463234273,8950000
2025-11-13,152.61508178710938,159.5729338634817,151.032380650417,158.1594644769791,13693700
2025-11-14,147.57835388183594,152.24679355301515,144.7016415626259,146.83180208423505,15076100
2025-11-17,146.78201293945312,153.10280770345074,145.26899736485527,146.6326934984666,10487800
2025-11-18,142.58143615722656,146.7621229330653,141.8448329602614,144.58218938581032,12706700
2025-11-19,148.11585998535156,149.7084944952644,144.84097802973253,146.0951946036433,9818300
2025-11-20,138.94821166992188,153.66025732322117,137.66414930960426,152.75445271974758,13695500
2025-11-21,141.994140625,143.7460584998993,134.87701982412545,139.1572530112527,14654600
2025-11-24,149.6885986328125,151.85856829680995,143.76594295918954,144.9305769842756,23096000
2025-11-25,151.23146057128906,152.09747088007575,144.83103122422636,148.86241348159646,9691500
2025-11-26,154.42672729492188,156.24831550444424,151.79886557384467,152.26670591562208,8398100
2025-11-28,155.2827606201172,155.4818380447239,153.12273942643498,155.4818380447239,4919200
2025-12-01,154.07830810546875,156.06911261207082,152.5453953183837,154.13804499911856,7416700
2025-12-02,157.4626922607422,158.71689369078274,154.94432565693586,155.13345452410954,10711900
2025-12-03,159.2772979736328,159.62626840519619,152.69682136156737,156.42576013688952,9964300
2025-12-04,156.62518310546875,158.05095979281802,154.4616057391638,156.5853081553792,8834700
2025-12-05,158.23040771484375,160.573460210383,157.41284198497047,158.5394879985875,7834100
2025-12-08,162.25845336914062,164.1328800524855,160.37404653934084,161.50069249318358,10170500
2025-12-09,165.31936645507812,165.86774205005895,160.27434140853137,160.27434140853137,8127000
2025-12-10,167.76211547851562,169.1878920391159,162.05903966339153,164.60149729090668,9259600
2025-12-11,168.21080017089844,168.64948544804682,159.84562647281624,165.16982196306762,10000000
2025-12-12,160.0450439453125,167.30350204114424,158.61926724060982,166.34633587730661,11414800
2025-12-15,163.8138427734375,166.376230286009,161.68017559729822,162.91649672646165,10258800
2025-12-16,162.7769012451172,165.69823916169412,160.31420886299244,164.01323750933113,8078600
2025-12-17,154.52142333984375,164.03320382554713,153.145516985625,163.37515305712446,12277800
2025-12-18,164.212646484375,167.79201995394158,161.5206388791173,162.70712008037438,14006400
2025-12-19,171.76026916503906,173.06639053085584,165.58858251559403,165.58858251559403,38469400
2025-12-22,174.74139404296875,175.4393348893549,170.98256055886748,175.1601494226178,11436100
2025-12-23,174.64170837402344,176.76539539720923,174.26282791879768,174.74140334764593,6483000
2025-12-24,176.8052978515625,177.03461304184188,174.68159546706843,174.7414154981292,2598900
2025-12-26,177.54310607910156,179.26798282609704,177.27390073729427,177.90202624999264,5238900
2025-12-29,175.34959411621094,178.6996524525564,174.23291307530852,175.97773480853763,6663300
2025-12-30,173.2657928466797,176.83520163944897,173.0763526125658,176.01762067403942,5670800
2025-12-31,170.67347717285156,174.39245118948983,170.2547217635328,173.97369578017108,4935800
2026-01-02,184.51242065429688,185.2302914521927,176.97479249003058,177.32376295504423,11957400
2026-01-05,194.1837158203125,197.77306980405342,189.55744580440177,189.55744580440177,16268200
2026-01-06,206.34762573242188,209.82728931635413,196.56664009460135,197.20474576835474,18787600
2026-01-07,202.47909545898438,204.7722928849931,199.20880207730957,201.98057494087982,15121000
2026-01-08,200.36537170410156,202.61867895073274,194.46287542965544,202.26970850543682,13928600
2026-01-09,217.71388244628906,218.94023866760418,202.1201611646427,204.05442321947532,16758600
